,Nth day,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0017,0018,0019,0020,0021,0022,0023,0024,0025,0026,0027,0028,0029,0030,0031,0032,0033,0034,0035,0036,0037,0038,0039,0040,0041,0042,0043,0044,0045,0046,0047,0048,0049,0050,0051,0052,0053,0054,0055,0056,0057,0058,0059,0060,0061,0062,0063,0064,0065,0066,0067
Page path and screen class,Segment,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions
/sta/internal_forces/,All Users,41,7,13,67,52,93,13,17,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/sta/frames_and_machines/,All Users,44,2,3,12,5,11,5,8,0,1,2,2,2,1,0,2,6,5,17,30,57,41,0,1,0,1,1,1,3,0,0,0,2,1,0,1,0,1,0,0,1,1,1,1,0,3,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0
/sta/moments/,All Users,3,2,0,0,1,7,1,1,0,0,2,0,0,2,5,3,11,14,22,32,64,54,2,0,0,3,3,0,5,0,0,0,1,0,1,0,0,0,0,1,1,3,0,0,0,3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,13,1,0,0,1,0,0
/sta/cartesian_coordinates/,All Users,4,0,0,0,0,2,0,1,0,0,0,3,1,1,2,6,6,18,17,30,44,30,1,0,0,1,1,0,1,0,2,1,1,0,0,0,0,0,2,0,0,1,2,1,2,7,4,1,0,2,0,1,0,0,2,0,0,0,0,3,1,9,0,0,0,0,0,0
/sta/introduction/,All Users,4,0,0,2,0,1,3,1,0,0,3,0,1,2,4,2,6,12,19,16,31,25,1,3,1,1,0,2,1,0,2,0,1,0,0,0,0,1,0,0,1,2,3,0,0,3,3,2,0,1,0,0,2,1,2,0,0,0,0,1,3,9,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/dyn/particle_kinematics.html,All Users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,8,12,23,31,24,39,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/sta/free_body_diagrams/,All Users,6,1,1,0,1,3,0,0,0,0,1,1,2,1,5,4,8,10,8,15,28,24,0,0,0,1,1,0,1,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,6,0,1,1,2,1,0,0,2,0,0,0,0,0,1,1,9,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/dyn/vectors.html,All Users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,6,5,24,26,30,33,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/dyn/rigid_body_kinetics.html,All Users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,10,10,25,22,19,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/dyn/rigid_body_kinematics.html,All Users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,6,10,18,20,21,27,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/index.html,All Users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,7,9,9,24,18,12,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/dyn/vector_calculus.html,All Users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,6,6,18,17,17,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/dyn/work_and_energy.html,All Users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,11,12,13,15,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/dyn/particle_kinetics.html,All Users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,7,7,12,16,10,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434756/clientFilesCourse/mechref/dyn/rigid_body_kinetics.html,All Users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,9,23,35,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/about/,All Users,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,1,1,2,4,7,3,2,3,4,4,1,5,6,1,0,1,5,1,0,1,0,1,0,0,0,0,3,1,0,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/dyn/contact_and_rolling.html,All Users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,5,6,10,11,7,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434756/clientFilesCourse/mechref/dyn.html,All Users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,22,27,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434759/clientFilesCourse/mechref/dyn/contact_and_rolling.html,All Users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,13,14,20,2,0,0,2,2,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434753/clientFilesCourse/mechref/dyn/rigid_body_kinematics.html,All Users,1,0,0,4,9,25,13,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434759/clientFilesCourse/mechref/dyn.html,All Users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,11,11,17,2,1,0,2,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434753/clientFilesCourse/mechref/dyn.html,All Users,1,0,0,4,9,23,13,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/sta/pltips/,All Users,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,2,2,0,7,2,1,0,1,3,3,1,3,0,0,0,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,1,3,3,1,0,2,0,1,0,0,0,0,1,0,4,0,1,0,0,0,0
/pl/course_instance/158221/assessment/2434756/clientFilesCourse/mechref/dyn/rigid_body_kinematics.html,All Users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,14,26,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/about/team/,All Users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,2,4,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
